	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218	219	220	221	222	223	224	225
1	0	1.165	1.712	0.792	0.432	1.372	0.768	0.289	0.448	1.055	0.905	0.787	1.307	1.514	1.86	0.682	1.794	1.185	0.776	1.72	1.909	1.341	1.318	1.573	1.643	1.216	1.01	0.804	2.149	1.64	2.261	1.069	1.104	1.965	2.449	2.75	0.453	2.565	1.831	6.662	2.942	2.81	1.481	2.239	3.365	3.272	2.688	1.312	2.764	3.52	2.381	4.027	2.056	4.05	2.871	2.647	3.572	4.379	33.722	4.706	2.616	1.761	21.857	3.669	8.434	3.677	4.273	5.723	4.057	4.301	5.978	3.394	5.203	3.439	10.188	1.351	4.581	4.631	5.278	2.357	2.363	6.287	7.79	4.444	26.915	29.861	1.992	5.007	22.973	5.779	9.699	33.586	4.217	20.872	38.256	9.036	5.21	16.976	23.744	26.408	34.645	3.354	11.51	21.628	29.704	15.393	14.742	7.694	18.84	20.879	35.775	12.717	53.547	11.813	41.278	30.272	5.217	18.914	10.39	16.586	11.502	37.878	24.86	28.496	20.63	7.08	29.648	9.006	15.561	9.457	7.34	11.904	14.875	26.351	8.909	34.311	33.85	8.635	36.712	29.862	26.097	23.041	39.369	37.655	22.407	28.417	36.812	39.67	36.595	37.087	18.581	8.983	23.909	30.727	36.379	40.204	19.057	5.777	1.851	1.374	1.4	2.827	3.49	3.561	1.952	2.161	3.764	2.948	3.537	3.253	2.81	14.252	4.194	4.012	12.107	6.539	3.362	2.923	3.773	3.531	4.063	2.519	2.149	5.034	3.664	5.565	7.924	3.057	7.023	4.508	7.703	3.672	5.368	8.336	3.504	2.604	6.174	1.507	4.709	2.852	1.954	4.873	6.105	19.376	4.226	11.915	2.334	4.317	31.234	18.457	3.257	3.813	6.357	4.694	3.772	5.587	4.824	6.994	4.878	7.305	6.636	4.765	6.4	7.685	9.627
2	1.365	0	1.338	0.545	0.933	0.377	2.067	1.588	1.747	2.548	1.395	1.779	1.797	0.852	1.198	1.799	1.42	2.732	2.075	2.608	1.535	0.707	1.808	2.215	2.061	1.445	2.309	1.882	1.775	2.282	1.599	1.872	2.568	2.607	1.787	3.24	1.965	2.191	2.086	6.288	3.432	2.436	1.107	1.865	2.703	2.898	2.026	2.935	2.39	4.01	2.007	3.653	2.698	3.676	2.497	2.273	4.062	4.14	34.212	5.196	3.258	1.322	21.218	3.295	8.924	3.303	3.611	5.484	4.547	4.791	5.739	3.155	5.693	3.065	9.74	1.856	5.071	4.392	5.039	2.118	2.124	5.913	7.551	4.934	26.276	30.351	1.33	4.345	22.334	5.117	9.46	34.076	3.843	20.633	38.746	8.662	4.548	16.337	24.234	26.169	35.135	3.115	11.271	22.118	29.465	14.754	14.294	7.32	18.392	20.24	36.265	13.207	54.037	11.365	41.768	30.762	4.978	18.675	10.016	15.947	11.128	37.239	24.621	27.857	20.182	6.706	29.009	8.632	15.113	9.947	6.966	12.394	14.636	26.112	8.535	33.672	33.211	8.261	37.202	29.623	25.858	22.402	39.859	37.016	22.168	28.178	36.173	40.16	35.956	37.577	18.133	8.609	24.399	30.088	35.74	39.565	18.957	6.267	2.356	2.89	2.223	4.343	3.39	3.461	3.199	3.677	3.664	2.848	3.68	3.153	2.71	14.152	4.094	3.912	14.258	8.69	4.878	4.439	3.673	3.431	3.963	4.138	3.761	5.524	3.564	5.465	10.075	4.669	9.174	4.73	9.854	3.572	6.884	9.852	5.02	4.216	6.074	1.407	4.609	4.547	3.566	4.773	8.256	19.276	4.126	8.488	1.886	4.217	31.134	18.357	2.809	3.387	5.718	4.246	3.324	7.738	4.376	6.894	4.43	6.666	6.188	6.281	7.916	5.986	9.527
3	1.237	0.846	0	1.309	0.868	1.074	2.002	1.523	1.682	2.483	1.326	1.71	1.728	0.613	0.46	1.734	0.869	2.667	2.01	2.539	1.445	0.97	1.739	2.146	2.097	1.409	2.147	1.813	1.685	2.213	0.99	1.803	2.902	2.538	1.165	3.171	1.713	1.271	1.996	6.198	3.363	2.346	0.495	1.775	2.172	2.808	1.404	3.11	2.3	3.941	1.917	3.563	2.629	3.586	2.407	1.353	3.993	3.817	34.143	5.127	3.189	1.911	20.895	3.205	8.855	1.906	2.822	5.161	4.478	4.722	4.695	2.832	5.624	2.145	9.6	1.791	5.002	4.069	4.716	1.795	1.801	5.823	7.228	4.865	25.953	30.282	1.007	3.832	22.011	4.604	10.178	34.007	2.923	20.31	38.677	8.572	3.746	16.014	24.165	25.846	35.066	2.792	10.948	22.049	29.142	14.431	14.154	3.954	18.252	19.917	36.196	13.138	53.968	11.225	41.699	30.693	4.655	18.352	9.926	15.624	11.038	36.916	24.298	27.534	20.042	6.616	28.686	8.542	14.973	9.878	6.876	12.325	14.313	25.789	8.445	33.349	32.888	8.171	37.133	29.3	25.535	22.079	39.79	36.693	21.845	27.855	35.85	40.091	35.633	37.508	17.993	8.519	24.33	29.765	35.417	39.242	19.497	6.198	2.291	2.825	2.154	4.278	3.93	4.001	3.134	3.612	4.204	3.388	4.22	3.693	3.25	14.692	4.634	4.452	13.558	7.99	4.813	4.374	4.213	3.971	4.503	4.073	3.692	5.455	4.104	6.005	9.375	4.6	8.474	5.959	9.154	4.112	6.819	9.787	4.955	4.147	6.614	1.947	5.149	4.478	3.497	5.313	7.556	19.816	4.666	8.359	2.774	4.757	31.674	18.897	2.669	4.253	5.395	4.117	3.184	6.58	4.236	7.434	4.301	6.343	6.048	6.216	7.851	5.857	10.067
4	1.437	0.636	1.621	0	1.481	0.685	1.894	1.362	1.521	2.027	1.943	2.126	2.345	1.145	1.491	1.278	1.968	2.211	2.099	3.156	2.083	0.55	2.356	2.763	2.609	1.993	2.187	2.143	2.323	2.83	1.892	2.408	2.982	3.155	2.08	3.788	1.739	2.209	2.634	6.836	3.98	2.984	1.655	2.413	2.576	3.446	2.334	2.414	2.938	4.558	2.555	4.201	3.246	4.224	3.045	2.32	4.61	3.588	34.76	5.744	3.806	0.97	20.666	3.843	9.472	3.851	3.484	4.932	5.095	5.339	5.187	2.603	6.241	3.401	9.388	1.32	5.619	3.84	4.487	1.566	1.572	6.461	6.999	5.482	25.724	30.899	1	4.218	21.782	4.99	8.908	34.624	3.754	20.081	39.294	9.21	4.421	15.785	24.782	25.617	35.683	2.563	10.719	22.666	28.913	14.202	13.942	4.929	18.04	19.688	36.813	13.755	54.585	11.013	42.316	31.31	4.426	18.123	9.982	15.395	11.175	36.687	24.069	27.305	19.83	7.254	28.457	6.551	14.761	10.495	7.514	12.942	14.084	25.56	9.083	33.12	32.659	8.809	37.75	29.071	25.306	21.85	40.407	36.464	21.616	27.626	35.621	40.708	35.404	38.125	17.781	9.157	24.947	29.536	35.188	39.013	18.605	6.815	1.82	2.354	3.672	3.807	3.038	3.109	2.678	3.141	3.312	2.496	3.328	2.801	2.358	13.8	3.742	3.56	13.906	8.338	4.342	3.903	3.321	3.079	3.611	3.602	3.497	6.072	3.212	5.113	9.723	7.486	8.822	4.378	9.502	3.22	4.691	9.316	4.484	4.207	5.722	1.055	4.257	4.692	3.794	4.421	7.904	18.924	3.774	8.136	1.534	3.865	30.782	18.005	2.457	3.035	5.166	3.894	2.972	7.386	4.024	6.542	4.078	6.114	5.836	5.745	7.38	5.634	9.175
5	0.432	0.919	1.466	0.711	0	1.126	1.083	0.604	0.763	1.885	0.98	1.129	1.382	1.268	1.614	1.136	1.548	2.069	1.091	2.193	1.663	1.26	1.393	1.8	1.718	1.063	1.305	1.064	1.903	1.867	2.015	1.222	1.441	2.192	2.203	2.825	0.981	2.319	1.906	6.416	3.017	2.564	1.235	1.993	3.119	3.026	2.442	1.649	2.518	3.595	2.135	3.781	2.283	3.804	2.625	2.401	3.647	4.298	33.797	4.781	2.843	1.68	21.699	3.423	8.509	3.431	4.027	5.642	4.132	4.376	5.897	3.313	5.278	3.193	10.03	1.193	4.656	4.55	5.197	2.276	2.282	6.041	7.709	4.519	26.757	29.936	1.746	4.761	22.815	5.533	9.618	33.661	3.971	20.791	38.331	8.79	4.964	16.818	23.819	26.327	34.72	3.273	11.429	21.703	29.623	15.235	14.584	7.448	18.682	20.721	35.85	12.792	53.622	11.655	41.353	30.347	5.136	18.833	10.144	16.428	11.256	37.72	24.779	28.338	20.472	6.834	29.49	8.76	15.403	9.532	7.094	11.979	14.794	26.27	8.663	34.153	33.692	8.389	36.787	29.781	26.016	22.883	39.444	37.497	22.326	28.336	36.654	39.745	36.437	37.162	18.423	8.737	23.984	30.569	36.221	40.046	18.899	5.852	1.693	2.227	1.808	3.68	3.332	3.403	2.536	3.014	3.606	2.79	3.622	3.095	2.652	14.094	4.036	3.854	12.96	7.392	4.215	3.776	3.615	3.373	3.905	3.475	2.486	5.109	3.506	5.407	8.777	6.54	7.876	5.361	8.556	3.514	6.221	9.189	4.357	4.08	6.016	1.349	4.551	4.132	2.291	4.715	6.958	19.218	4.068	11.757	2.176	4.159	31.076	18.299	3.099	3.655	6.199	4.536	3.614	6.44	4.666	6.836	4.72	7.147	6.478	5.618	7.253	7.527	9.469
6	1.838	0.377	0.907	0.838	1.354	0	2.295	1.763	1.922	2.428	1.816	2.2	2.218	0.33	0.777	1.679	1.385	2.612	2.5	3.029	1.956	0.603	2.229	2.636	2.482	1.866	2.588	2.303	2.196	2.703	1.178	2.293	3.383	3.028	1.366	3.661	2.14	1.495	2.507	6.709	3.853	2.857	1.162	2.286	2.282	3.319	1.605	2.815	2.811	4.431	2.428	4.074	3.119	4.097	2.918	1.606	4.483	3.719	34.633	5.617	3.679	1.371	20.797	3.716	9.345	2.193	3.19	5.063	4.968	5.212	5.318	2.734	6.114	2.369	9.502	1.721	5.492	3.971	4.618	1.697	1.703	6.334	7.13	5.355	25.855	30.772	0.909	3.924	21.913	4.696	9.039	34.497	3.147	20.212	39.167	9.083	4.127	15.916	24.655	25.748	35.556	2.694	10.85	22.539	29.044	14.333	14.056	4.635	18.154	19.819	36.686	13.628	54.458	11.127	42.189	31.183	4.557	18.254	10.113	15.526	11.306	36.818	24.2	27.436	19.944	7.127	28.588	6.257	14.875	10.368	7.387	12.815	14.215	25.691	8.956	33.251	32.79	8.682	37.623	29.202	25.437	21.981	40.28	36.595	21.747	27.757	35.752	40.581	35.535	37.998	17.895	9.03	24.82	29.667	35.319	39.144	19.006	6.688	2.221	2.755	2.644	4.208	3.439	3.51	3.079	3.542	3.713	2.897	3.729	3.202	2.759	14.201	4.143	3.961	14.307	8.739	4.743	4.304	3.722	3.48	4.012	4.003	3.898	5.945	3.613	5.514	10.124	7.887	9.223	4.779	9.903	3.621	5.092	9.717	4.885	4.608	6.123	1.456	4.658	4.968	4.195	4.822	8.305	19.325	4.175	8.261	1.935	4.266	31.183	18.406	2.571	3.436	5.297	4.019	3.086	7.787	4.138	6.943	4.203	6.245	5.95	6.146	7.781	5.759	9.576
7	0.768	1.899	2.847	1.196	1.12	2.528	0	0.563	0.411	0.605	1.722	1.239	2.124	2.67	3.115	0.701	2.929	0.703	0.399	3.199	3.044	1.745	2.135	3.052	2.493	1.904	0.487	1.173	3.284	3.178	3.417	1.532	1.076	3.444	3.605	4.098	0.633	3.7	2.681	7.797	4.29	3.945	2.616	3.374	3.771	4.407	3.529	0.869	3.899	4.868	3.516	5.162	3.594	5.185	4.006	3.782	4.92	4.783	34.598	6.054	3.561	2.332	21.868	4.804	9.31	4.812	4.679	6.127	5.405	5.87	6.382	3.798	7.901	4.574	10.199	0.979	5.929	5.338	5.682	2.761	2.767	7.422	8.194	5.792	26.926	30.737	2.195	5.413	22.984	6.185	10.973	34.462	5.352	22.146	39.132	10.171	5.616	16.987	24.62	27.682	35.521	4.316	12.784	22.504	30.978	15.404	14.753	8.829	18.851	20.89	36.651	13.593	54.423	11.824	42.154	31.148	5.621	20.188	11.525	16.597	12.637	37.889	26.134	28.507	20.641	8.215	29.659	10.141	15.572	10.333	8.475	12.78	16.149	27.625	10.044	34.322	33.861	9.77	37.588	31.136	27.371	23.052	40.245	37.666	23.681	29.691	36.823	40.546	36.606	37.963	18.592	10.118	24.785	30.738	36.39	40.215	19.068	6.653	1.122	1.011	2.583	2.464	3.231	3.572	1.589	1.798	3.643	2.959	3.174	3.264	2.821	14.263	3.612	4.023	11.744	6.176	2.999	2.56	3.784	3.542	3.981	2.156	2.408	5.896	3.675	5.916	7.561	3.13	6.66	4.145	7.34	3.683	5.005	7.973	3.141	2.864	6.05	1.518	4.72	3.603	2.705	4.884	5.742	19.387	4.237	11.926	2.345	4.328	31.245	18.468	3.268	3.824	6.368	4.705	3.783	5.224	4.835	7.005	4.889	7.316	6.647	4.402	6.037	7.696	9.638
8	0.289	0.915	1.921	0.717	0.641	1.401	0.563	0	0.373	0.85	1.45	0.978	1.852	1.723	2.069	0.392	2.003	0.98	0.571	1.911	2.118	1.266	1.863	1.764	2.221	1.425	0.732	0.995	2.358	1.831	2.47	1.26	1.194	2.156	2.658	2.81	0.591	2.774	2.409	6.871	3.002	3.019	1.69	2.448	3.292	3.481	3.05	1.146	2.973	3.58	2.59	4.236	2.247	4.259	3.08	2.856	3.632	4.304	33.937	4.766	2.9	1.686	21.5	3.878	8.649	3.886	4.2	5.648	4.117	4.361	5.903	3.319	5.263	3.648	9.831	0.994	4.641	4.556	5.203	2.282	2.288	6.496	7.715	4.504	26.558	30.076	1.716	4.934	22.616	5.706	9.624	33.801	4.47	20.797	38.471	9.245	5.137	16.619	23.959	26.333	34.86	3.279	11.435	21.843	29.629	15.036	14.385	7.903	18.483	20.522	35.99	12.932	53.762	11.456	41.493	30.487	5.142	18.839	10.599	16.229	11.711	37.521	24.785	28.139	20.273	7.289	29.291	9.215	15.204	9.672	7.549	12.119	14.8	26.276	9.118	33.954	33.493	8.844	36.927	29.787	26.022	22.684	39.584	37.298	22.332	28.342	36.455	39.885	36.238	37.302	18.224	9.192	24.124	30.37	36.022	39.847	18.7	5.992	1.494	1.169	1.922	2.622	3.133	3.204	1.747	1.956	3.407	2.591	3.332	2.896	2.453	13.895	3.77	3.655	11.902	6.334	3.157	2.718	3.416	3.174	3.706	2.314	2.239	5.235	3.307	5.208	7.719	3.147	6.818	4.303	7.498	3.315	5.163	8.131	3.299	2.694	6.208	1.15	4.352	2.942	2.044	4.516	5.9	19.019	3.869	11.558	1.977	3.96	30.877	18.1	2.9	3.456	6	4.337	3.415	5.382	4.467	6.637	4.521	6.948	6.279	4.56	6.195	7.328	9.27
9	0.366	1.074	2.05	0.876	0.77	1.56	0.584	0.373	0	0.871	1.212	0.729	1.614	1.852	2.198	0.88	2.132	1.001	0.423	1.673	2.247	1.425	1.625	1.526	1.983	1.809	0.502	0.832	2.487	1.593	2.599	1.022	0.895	1.918	2.787	2.572	0.292	2.903	2.171	7	2.764	3.148	1.819	2.577	3.451	3.61	3.209	0.829	3.102	3.342	2.719	4.007	2.009	4.003	2.644	2.985	3.394	4.463	33.638	4.528	2.601	1.845	22.047	3.211	8.35	4.015	4.359	5.807	3.879	4.91	6.062	3.478	5.025	3.777	10.378	1.158	4.403	4.715	5.362	2.441	2.447	6.625	7.874	4.266	27.105	29.777	1.875	5.093	23.163	5.865	9.783	33.502	4.629	20.956	38.172	9.374	5.296	17.166	23.66	26.492	34.561	3.438	11.594	21.544	29.788	15.583	14.932	8.032	19.03	21.069	35.691	12.633	53.463	12.003	41.194	30.188	5.301	18.998	10.728	16.776	11.84	38.068	24.944	28.686	20.82	7.418	29.838	9.344	15.751	9.373	7.678	11.82	14.959	26.435	9.247	34.501	34.04	8.973	36.628	29.946	26.181	23.231	39.285	37.845	22.491	28.501	37.002	39.586	36.785	37.003	18.771	9.321	23.825	30.917	36.569	40.394	19.247	5.693	1.301	1.19	1.623	2.643	3.41	3.751	1.768	1.977	3.822	3.138	3.353	3.443	3	14.442	3.791	4.202	11.923	6.355	3.178	2.739	3.963	3.721	4.16	2.335	1.94	4.936	3.854	6.095	7.74	2.848	6.839	4.324	7.519	3.862	5.184	8.152	3.32	2.395	6.229	1.697	4.899	2.643	1.745	5.063	5.921	19.566	4.416	12.105	2.524	4.507	31.424	18.647	3.447	4.003	6.547	4.884	3.962	5.403	5.014	7.184	5.068	7.495	6.826	4.581	6.216	7.875	9.817
10	1.055	1.917	2.865	1.611	1.407	2.546	0.618	0.85	0.871	0	2.988	1.526	3.108	2.688	3.133	0.673	2.947	0.446	0.657	2.667	3.062	2.16	2.739	2.52	3.086	2.972	0.634	1.872	3.302	2.646	3.435	2.205	1.361	2.912	3.623	3.566	1.089	3.718	3.343	7.815	3.758	3.963	2.634	3.392	4.186	4.425	3.944	0.649	3.917	4.336	3.534	5.001	3.062	5.203	4.024	3.8	4.388	5.198	34.066	5.522	3.029	2.35	21.886	4.86	8.778	4.83	5.094	6.542	4.873	5.338	6.797	4.213	7.369	4.592	10.217	0.997	5.397	5.356	6.097	3.176	3.182	7.44	8.609	5.26	26.944	30.205	2.61	5.828	23.002	6.6	10.991	33.93	5.37	22.164	38.6	10.189	6.031	17.005	24.088	27.7	34.989	4.334	12.802	21.972	30.996	15.422	14.771	8.847	18.869	20.908	36.119	13.061	53.891	11.842	41.622	30.616	6.036	20.206	11.543	16.615	12.655	37.907	26.152	28.525	20.659	8.233	29.677	10.159	15.59	9.801	8.493	12.248	16.167	27.643	10.062	34.34	33.879	9.788	37.056	31.154	27.389	23.07	39.713	37.684	23.699	29.709	36.841	40.014	36.624	37.431	18.61	10.136	24.253	30.756	36.408	40.233	19.913	6.121	0.984	0.873	2.051	2.143	2.91	3.751	1.057	1.412	3.322	2.736	2.853	3.041	2.598	15.108	3.291	3.934	11.46	5.892	2.678	2.239	3.561	3.319	3.66	1.624	1.876	5.364	4.52	5.595	7.277	2.598	6.376	3.824	7.056	3.46	4.684	7.652	2.82	2.191	5.729	1.536	4.497	3.071	2.173	5.729	5.458	20.232	4.014	12.771	2.363	5.173	32.09	19.313	3.286	3.613	6.386	4.314	3.801	4.94	4.853	7.85	4.483	7.334	6.665	4.081	5.716	8.541	8.511
